更新时间,#genre#
20250111-09-46-34,url


speed,RespoTime,whitelist,#genre#
68133.7KB/S,7.84ms,延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8###HLS\\n
64317.8KB/S,341.06ms,延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8###HLS\\n
58522.6KB/S,541.55ms,延边卫视,https://stream1.freetv.fun/a26f33a3504d1ef90a6b1750c720fb6b6a0dcab447c91e0afd790b9fe21b2bbf.m3u8
57878.7KB/S,755.92ms,延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?
57573.2KB/S,890.23ms,延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
57181.4KB/S,459.11ms,延边卫视,https://stream1.freetv.fun/yan-bian-wei-shi-15.m3u8
54044.0KB/S,464.52ms,延边卫视,https://stream1.freetv.fun/yan-bian-wei-shi-16.m3u8
45911.3KB/S,761.63ms,延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild
4297.6KB/S,530.42ms,CCTV-17农业农村,https://api.olelive.com/dis/live/CCTV17HD/hls.m3u8
4285.6KB/S,824.18ms,CCTV-16奥林匹克,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8
3998.7KB/S,690.17ms,CCTV-5+体育赛事,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
3448.2KB/S,490.66ms,北京卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611
3186.4KB/S,626.32ms,东南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=10943554111088989087
2894.5KB/S,523.26ms,辽宁卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=6324592032119595697
2720.4KB/S,419.52ms,湖南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=11355377224826061225
2465.5KB/S,476.33ms,山东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/sdws-hd/2500.m3u8?innersid=3721212644869031100
2359.9KB/S,860.27ms,CCTV-5+体育赛事,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=246
2340.4KB/S,1613.12ms,CCTV-2财经,http://106.53.99.30/dl/bjyd.php?id=2
2287.3KB/S,632.05ms,江苏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jsws-hd/2500.m3u8?innersid=14912719076157451667
2258.7KB/S,811.68ms,CCTV-1综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=201
2238.6KB/S,739.53ms,CCTV-12社会与法,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730
2237.6KB/S,839.61ms,CCTV-9纪录,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=17686352686599982856&amp
2207.3KB/S,806.01ms,CCTV-7国防军事,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=127
2203.0KB/S,852.01ms,东方卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=6998114529464369318
2169.7KB/S,938.01ms,CCTV-7国防军事,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=12706415551557919057&amp
2169.1KB/S,734.84ms,吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736
2157.8KB/S,905.61ms,CCTV-2财经,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp
2137.6KB/S,816.35ms,CCTV-9纪录,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=128
2120.9KB/S,721.11ms,CCTV-10科教,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188
2083.5KB/S,246.47ms,延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
2076.5KB/S,996.34ms,CCTV-14少儿,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862
2070.9KB/S,442.66ms,四川卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=17534924581903335933
2012.0KB/S,761.33ms,黑龙江卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=3559146512286674480
1986.8KB/S,683.23ms,CCTV-11戏曲,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=130
1953.6KB/S,830.13ms,CCTV-17农业农村,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=204
1947.5KB/S,790.69ms,CCTV-3综艺,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=062
1945.7KB/S,1612.42ms,CCTV-13新闻,http://106.53.99.30/dl/bjyd.php?id=9
1921.4KB/S,1629.69ms,CCTV-17农业农村,http://106.53.99.30/dl/bjyd.php?id=12
1920.2KB/S,1619.54ms,CCTV-9纪录,http://106.53.99.30/dl/bjyd.php?id=5
1908.5KB/S,1607.94ms,CCTV-7国防军事,http://106.53.99.30/dl/bjyd.php?id=4
1885.4KB/S,1623.54ms,CCTV-10科教,http://106.53.99.30/dl/bjyd.php?id=6
1876.0KB/S,1610.61ms,CCTV-12社会与法,http://106.53.99.30/dl/bjyd.php?id=8
1867.6KB/S,1623.90ms,CCTV-14少儿,http://106.53.99.30/dl/bjyd.php?id=10
1853.3KB/S,732.12ms,CCTV-17农业农村,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700
1841.7KB/S,708.06ms,CCTV-12社会与法,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=131
1836.7KB/S,685.91ms,CCTV-2财经,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=061
1802.2KB/S,808.79ms,CCTV-4中文国际,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=063
1761.2KB/S,433.24ms,安徽卫视,http://183.3.134.56:9901/tsfile/live/0130_1.m3u8
1743.3KB/S,437.27ms,江西卫视,http://183.3.134.56:9901/tsfile/live/0138_1.m3u8
1737.6KB/S,1654.62ms,CCTV-15音乐,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=133
1734.1KB/S,786.61ms,CCTV-1综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=489
1731.7KB/S,2323.12ms,延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8?zjild
1728.3KB/S,838.95ms,CCTV-5体育,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=064
1684.3KB/S,813.95ms,CCTV-10科教,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=129
1637.6KB/S,792.24ms,CCTV-8电视剧,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=066
1600.4KB/S,1293.10ms,延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
1589.2KB/S,632.94ms,深圳卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=15000776628606995758
1556.8KB/S,778.33ms,CCTV-6电影,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=065
1541.2KB/S,800.76ms,CCTV-1综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=484
1529.1KB/S,437.76ms,贵州卫视,http://183.3.134.56:9901/tsfile/live/0120_1.m3u8
1396.6KB/S,1201.32ms,CCTV-13新闻,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=067
1345.3KB/S,350.40ms,延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
1332.9KB/S,781.25ms,CCTV-1综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=488
1240.1KB/S,2075.56ms,CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
1220.7KB/S,1847.54ms,CCTV-9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
1196.0KB/S,1083.94ms,CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
1186.6KB/S,1625.36ms,江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
1185.2KB/S,530.84ms,CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4o
1183.2KB/S,1830.84ms,CCTV-4中文国际,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174
1164.6KB/S,2867.34ms,CCTV-8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
1164.2KB/S,815.72ms,CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
1137.5KB/S,1706.49ms,CCTV-4中文国际,https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1
1131.5KB/S,930.11ms,CCTV-7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
1128.7KB/S,901.31ms,CCTV-10科教,http://z.b.bkpcp.top/m.php?id=cctv10
1123.9KB/S,817.98ms,CCTV-4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
1120.6KB/S,830.93ms,CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
1085.7KB/S,1748.80ms,江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
1072.7KB/S,817.10ms,CCTV-5+体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
1069.2KB/S,770.01ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000005000265003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000265003
1040.1KB/S,2043.31ms,延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
1035.4KB/S,942.05ms,CCTV-11戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
1009.8KB/S,1173.25ms,CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
