migu分类,#genre#
重温经典,http://148.135.93.213:81/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213:81/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213:81/live.php?id=CHC动作电影
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
五星体育,http://148.135.93.213:81/live.php?id=五星体育
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
陕西卫视,http://148.135.93.213:81/live.php?id=陕西卫视
湖北卫视,http://148.135.93.213:81/live.php?id=湖北卫视
内蒙古卫视,http://148.135.93.213:81/live.php?id=内蒙古卫视
江西卫视,http://148.135.93.213:81/live.php?id=江西卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
东方卫视,http://148.135.93.213:81/live.php?id=东方卫视
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
吉林卫视,http://148.135.93.213:81/live.php?id=吉林卫视
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/live.php?id=天津卫视
安徽卫视,http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://148.135.93.213:81/live.php?id=山东卫视
山西卫视,http://148.135.93.213:81/live.php?id=山西卫视
广西卫视,http://148.135.93.213:81/live.php?id=广西卫视
河北卫视,http://148.135.93.213:81/live.php?id=河北卫视
河南卫视,http://148.135.93.213:81/live.php?id=河南卫视
深圳卫视,http://148.135.93.213:81/live.php?id=深圳卫视
甘肃卫视,http://148.135.93.213:81/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213:81/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213:81/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213:81/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213:81/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213:81/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213:81/live.php?id=大湾区卫视
西藏卫视,http://148.135.93.213:81/live.php?id=西藏卫视
CCTV4K,http://148.135.93.213:81/live.php?id=CCTV4K-av3a
CCTV16-4K,http://148.135.93.213:81/live.php?id=CCTV16-4K-av3a
CCTV8K,http://148.135.93.213:81/live.php?id=CCTV8K-av3a
NEWTV动作电影,http://rihou.cc:567/53057.php?id=chcdz
Thrill,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9550&tk=97475bb89d45
AMC电影,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv017
贝爷欧美①厅,http://zzy789.xyz/douyu1.php?id=252802#http://159.75.85.63:35455/douyu/252802
贝爷欧美②厅,http://zzy789.xyz/douyu1.php?id=36337#http://159.75.85.63:35455/douyu/36337
贝爷欧美IMAX厅,http://zzy789.xyz/douyu1.php?id=4332#http://159.75.85.63:35455/douyu/4332
CCTV1,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1
CCTV2,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2
CCTV3,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3
CCTV4,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4
CCTV5,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5
CCTV5+,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p
CCTV6,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6
CCTV7,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7
CCTV8,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8
CCTV9,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9
CCTV10,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10
CCTV11,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11
CCTV12,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12
CCTV13,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13
CCTV14,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14
CCTV15,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15
CCTV16,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv16
CCTV17,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17
CCTV4欧洲,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1582375949_203608310/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667313&timezone=UTC&mtv_session=12bc39164397f10e5223af167f7534a1&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9d84e48895c7676c2037280dd67a8351
CCTV4美洲,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1582682240_-1402839824/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667335&timezone=UTC&mtv_session=361466f23b240ef7fb33d32f582f16e5&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=0ecf0c5bd1bb66dff4d24e873e5c63ef
CCTV7,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1584449189_-1771078739/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667268&timezone=UTC&mtv_session=dac68d68c1a7bfb5fce6e52fcae95b03&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=011fdc0d9d5b681821c2be70c08216b1
CCTV9,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1585021209_2146650853/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667202&timezone=UTC&mtv_session=3b457b5d48dfa5bec1b31c42bdc38890&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4831b14f9cf512f5bf6964b103251dc9
CCTV11,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1585598366_-481653261/migu/kailu/cctv11hd/57/20200103/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073735&ContentId=265667429&timezone=UTC&mtv_session=4b2a1a34470a2292a3b6b8defdd19dc8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f5c6b917bd6664cd3abf93c9a779b8bf
CCTV12,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1585892033_-953434305/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073735&ContentId=265667607&timezone=UTC&mtv_session=04a047571867297b61308196c0b61be4&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6f196fd01444dfaf9d9ea5d0cc8ecc01
CCTV15,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1586792991_-195972221/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073736&ContentId=265667535&timezone=UTC&mtv_session=5229243a54883745a550aaaa6f71126b&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=324a9a20d7e080d5c25a85803c60add8
CCTV17,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1587065488_-544231819/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073737&ContentId=265667526&timezone=UTC&mtv_session=fce9a29d0fe15700731dd42b5514437c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=38e21fbccbeb7ce8cdeaf7c394b87ce1
CCTV1,http://kxrj.site:1258/699/mg9.php?id=cctv1
CCTV2,http://kxrj.site:1258/699/mg9.php?id=cctv2
CCTV3,http://kxrj.site:1258/699/mg9.php?id=cctv3
CCTV4,http://kxrj.site:1258/699/mg9.php?id=cctv4
CCTV5,http://kxrj.site:1258/699/mg9.php?id=cctv5
