movie分类,#genre#
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,p3p://167.114.175.6:55331/66c04cec000a20ac2dbf03c71cf661c9
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
翡翠台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah005-golive.flv
翡翠台,http://58.250.155.2:8180/TV00000000000000000032@HHZT
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
翡翠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxA5oJl8b5Icz-0MXK7POxcc/ts
翡翠台,https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
翡翠台,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
翡翠台,http://beishan008.asuscomm.com:8889/bysid/1.m3u8
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
翡翠台,http://fm1077.serv00.net/Smart.php?id=jade_twn
翡翠台4K,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u8
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
TVB翡翠剧集,http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB翡翠剧集,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b42-golive.flv
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB无线新闻,p3p://167.114.175.6:55331/653e4703000daead0c78dfb07723484e
TVB无线新闻,http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
TVB无线新闻,p3p://108.181.32.169:19673/66c414110003f1f047eb7cb30cd84a38
TVB无线新闻,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah006-golive.flv
TVB无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
TVB无线新闻,https://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
TVB无线新闻,http://grandprix2023.asuscomm.com:8892/bysid/83.m3u8
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php?id=2&time=20240926215313&ip=111.229.253.40
TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
TVB黄金翡翠,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
TVB黄金翡翠,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1509&tk=97475bb89d45
有线新闻,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=hoycaijing_twn
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰中文,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8
凤凰中文,http://146.56.153.245:20121/bysid/258
凤凰中文,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.184:9092
凤凰卫视,p3p://167.114.175.6:55331/602c73500002f4d29c90fa1270f21160
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰香港,https://stream1.freetv.fun/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.ctv
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.183:9086
凤凰资讯,http://146.56.153.245:20121/bysid/257
凤凰资讯,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8576/.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/master.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
寰宇新闻,https://ghp.ci/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新闻,http://211.72.65.236:8547/.m3u8
东森新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-6.ctv
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-7.ctv
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-3.ctv
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
东森新闻,http://211.72.65.236:8540/.m3u8
镜新闻,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/4gtv-4gtv075
TVBS新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
TVBS新闻,http://125.227.210.55:8186/VideoInput/play.ts
中天新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv009
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
非凡新闻,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/4gtv-4gtv010
非凡新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv010
年代新闻,http://211.72.65.236:8539/.m3u8
华视新闻,https://stream1.freetv.fun/hua-shi-2.m3u8
华视新闻,http://211.72.65.236:8503/.m3u8
上海新闻综合,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A62315/itv/5000000011000031110.m3u8%3Fcdn%3Dbestzb
上海新闻综合,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226620/index.m3u8
上海新闻综合,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031110/1.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=3
上海新闻综合,http://120.77.28.4:8648/mgu.php?id=shxwzh
上海新闻综合,https://stream1.freetv.fun/shang-hai-xin-wen-zong-he-3.m3u8
上海新闻综合,http://58.41.27.144:18888/udp/239.45.3.209:5140
上海新闻综合,http://kxrj.site:35455/itv/5000000011000031110.m3u8?cdn=bestzb
TVB翡翠台,p3p://167.114.175.6:55331/653e4c02000ea0440c8c63fd3e5d709d
TVB翡翠台,p3p://108.181.32.169:19673/6533f6560002787f2d01338b57197695
TVB无线新闻,p3p://167.114.175.6:55331/66c9c0df00016a4852abc2d358ee0ccb
TVB无线新闻,p3p://167.114.175.6:55331/653e4818000b73240c7d19181340415e
TVB财体资讯,p3p://167.114.175.6:55331/5ffbee4900066c0ddf0b8b84423c06f3
TVB财体资讯,p3p://167.114.175.6:55331/611d989d0005244a4a7f24d111282ffb
HOY资讯,p3p://167.114.175.6:55331/655bd22c000147307fdff68936807320
黄金翡翠台,p3p://167.114.175.6:55331/653e49c20006c60f0c8397f7771b1b7b
Now新闻,p3p://167.114.175.6:55331/653e4f3d0003bdbf0c98ffaf583a6e3a
凤凰资讯,p3p://167.114.175.6:55331/5fffbf860003807cedf4e1016c3c3ed2
凤凰香港,p3p://167.114.175.6:55331/5fe0b82c000cac9774c17f262e43314d
三立新闻(VPN),http://125.227.210.55:8162/VideoInput/play.ts
澳门资讯,p3p://167.114.175.6:55331/644ed21e000dd9a7651cc03a565575f7
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半岛新闻,https://litv.zapi.us.kg/?id=litv-ftv10
凤凰卫视,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=phoenixtv_hd
凤凰卫视,http://114.105.187.147:9901/tsfile/live/1054_1.m3u8
凤凰卫视,http://114.105.187.147:9901/tsfile/live/1063_1.m3u8
凤凰卫视,http://a21709.tv.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰卫视,http://114.105.185.143:9901/tsfile/live/1063_1.m3u8
凤凰卫视,http://114.105.185.143:9901/tsfile/live/1054_1.m3u8
凤凰卫视,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8
凤凰卫视,https://stream1.freetv.fun/feng-huang-wei-shi-11.ctv
